,x_avg_pixel,amostras,proporção,higher_than_threshold
284,0.10476792,ddgan,0.3,0.0
285,0.09054075,ddgan,0.3,0.0
286,0.8996017,ddgan,0.3,1.0
287,0.14867112,ddgan,0.3,0.0
288,0.14453125,ddgan,0.3,0.0
289,0.099168964,ddgan,0.3,0.0
290,0.09636949,ddgan,0.3,0.0
291,0.8389438,ddgan,0.3,1.0
292,0.13440947,ddgan,0.3,0.0
293,0.09626992,ddgan,0.3,0.0
294,0.9228057,ddgan,0.3,1.0
295,0.7541399,ddgan,0.3,1.0
296,0.073717065,ddgan,0.3,0.0
297,0.9537072,ddgan,0.3,1.0
298,0.22183669,ddgan,0.3,0.0
299,0.82159156,ddgan,0.3,1.0
300,0.13853784,ddgan,0.3,0.0
301,0.8131128,ddgan,0.3,1.0
302,0.0674326,ddgan,0.3,0.0
303,0.14849496,ddgan,0.3,0.0
304,0.13118489,ddgan,0.3,0.0
305,0.13553922,ddgan,0.3,0.0
306,0.083436735,ddgan,0.3,0.0
307,0.8298292,ddgan,0.3,1.0
308,0.07076823,ddgan,0.3,0.0
309,0.17070696,ddgan,0.3,0.0
310,0.13383502,ddgan,0.3,0.0
311,0.101026356,ddgan,0.3,0.0
312,0.07693398,ddgan,0.3,0.0
313,0.12726334,ddgan,0.3,0.0
314,0.8603707,ddgan,0.3,1.0
315,0.16052006,ddgan,0.3,0.0
316,0.8179765,ddgan,0.3,1.0
317,0.11426164,ddgan,0.3,0.0
318,0.87546724,ddgan,0.3,1.0
319,0.10748698,ddgan,0.3,0.0
320,0.052753523,ddgan,0.3,0.0
321,0.8546262,ddgan,0.3,1.0
322,0.17015167,ddgan,0.3,0.0
323,0.08830424,ddgan,0.3,0.0
324,0.13101256,ddgan,0.3,0.0
325,0.8481579,ddgan,0.3,1.0
326,0.1029565,ddgan,0.3,0.0
327,0.8696921,ddgan,0.3,1.0
328,0.08997779,ddgan,0.3,0.0
329,0.87532556,ddgan,0.3,1.0
330,0.061611522,ddgan,0.3,0.0
331,0.117696844,ddgan,0.3,0.0
332,0.8947725,ddgan,0.3,1.0
333,0.86680067,ddgan,0.3,1.0
334,0.11387868,ddgan,0.3,0.0
335,0.12342218,ddgan,0.3,0.0
336,0.075785086,ddgan,0.3,0.0
337,0.9264208,ddgan,0.3,1.0
338,0.94529337,ddgan,0.3,1.0
339,0.83768386,ddgan,0.3,1.0
340,0.08381204,ddgan,0.3,0.0
341,0.1350835,ddgan,0.3,0.0
342,0.90797335,ddgan,0.3,1.0
343,0.8638481,ddgan,0.3,1.0
344,0.17854626,ddgan,0.3,0.0
345,0.8636795,ddgan,0.3,1.0
346,0.16851257,ddgan,0.3,0.0
347,0.09829197,ddgan,0.3,0.0
348,0.15003064,ddgan,0.3,0.0
349,0.78243333,ddgan,0.3,1.0
350,0.21282552,ddgan,0.3,0.0
351,0.7848538,ddgan,0.3,1.0
352,0.14805837,ddgan,0.3,0.0
353,0.118975945,ddgan,0.3,0.0
354,0.13417585,ddgan,0.3,0.0
355,0.1419539,ddgan,0.3,0.0
356,0.1414905,ddgan,0.3,0.0
357,0.19315256,ddgan,0.3,0.0
358,0.16244258,ddgan,0.3,0.0
359,0.87486595,ddgan,0.3,1.0
360,0.08413757,ddgan,0.3,0.0
361,0.095672496,ddgan,0.3,0.0
362,0.16266085,ddgan,0.3,0.0
363,0.13658471,ddgan,0.3,0.0
364,0.1694585,ddgan,0.3,0.0
365,0.84568787,ddgan,0.3,1.0
366,0.909712,ddgan,0.3,1.0
367,0.7815334,ddgan,0.3,1.0
368,0.10638404,ddgan,0.3,0.0
369,0.84567636,ddgan,0.3,1.0
370,0.8871476,ddgan,0.3,1.0
371,0.86520755,ddgan,0.3,1.0
372,0.05050935,ddgan,0.3,0.0
373,0.1310317,ddgan,0.3,0.0
374,0.16932446,ddgan,0.3,0.0
375,0.8163335,ddgan,0.3,1.0
376,0.82649744,ddgan,0.3,1.0
